Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1235461,soft toy upto 36inch,1,0,0,0,,9,9,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235460,soft toy more than 36inch,1,0,0,0,,9,9,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235459,soft toy upto 24inch,1,0,0,0,,9,9,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235458,soft toy upto 12inch,1,0,0,0,,9,9,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1235438,Bed sheet/D,1,0,0,0,,9,9,,,STEAM IRON,Other,no,no,NO,,Item,SALE,,,
1231667,Bed sheet/D,1,0,0,0,,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1231666,Bedsheet/S,1,0,0,0,,9,9,,,STEAM IRON,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1223492,kaduva,1,0,0,0,,9,9,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1223491,kaduva,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1219466,Starch Shirt ,1,0,0,0,,9,9,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1219465,Starch Shirt ,1,0,0,0,,9,9,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1219464,Dupatta Very Heavy,1,0,0,0,,9,9,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1219463,Dupatta Heavy,1,0,0,0,,9,9,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1219462,Dupatta Plain,1,0,0,0,,9,9,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1219461,Starch Shirt ,1,0,0,0,,9,9,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1219460,Starch Shirt ,1,0,0,0,,9,9,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1219459,Saree Starch,1,0,0,0,,9,9,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1219458,Dupatta Very Heavy,1,0,0,0,,9,9,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1219457,Dupatta Heavy,1,0,0,0,,9,9,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1219456,Dupatta Plain,1,0,0,0,,9,9,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1218851,Shirt ,1,1,0,0,,9,9,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1218850,Shirt,1,1,0,0,,9,9,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1218849,Blouse very heavy,1,0,0,0,,9,9,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1218848,Blouse heavy,1,0,0,0,,9,9,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1218847,Blouse Plain ,1,0,0,0,,9,9,,,STEAM IRON,WOMEN,no,no,NO,,Item,SALE,,,
1218846,Blouse  Very heavy,1,0,0,0,,9,9,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1218845,Blouse heavy,1,0,0,0,,9,9,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1218844,Blouse Plain ,1,0,0,0,,9,9,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1218599,Shirt Full Sleeves,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1218598,Shirt Half Sleeves,1,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1218597,Shirt Half Sleeves,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1218596,Shirt Full Sleeves,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1218592,saree very heavy,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1218591,saree heavy ,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1218590,Saree plain,1,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,Item,SALE,,,
1203394,Bed sheet/D,1,0,120,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1203393,Bedsheet/S,1,0,160,0,,0,0,,,DRY CLEAN,HOUSE HOLD,no,no,NO,,Item,SALE,,,
1203391,Shirt,1,0,15,0,,0,0,,,STEAM IRON,MEN,no,no,NO,,Item,SALE,,,
1202329,Payjama,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202328,Carpet,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202327,Blanket Quilt Single Layer Single,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202326,Pillow Covers,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202325,Sofa Cushion Pillow Cover Small,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202324,Cushion Covers,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202323,Suit 2 Pcs,2,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202322,Kurta  Kameez Plain,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202321,Shirt,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202320,Saree,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202319,Salwar,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202318,Ladies Suit 2 pcs heavy without Dupatta,2,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202317,Gown,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202316,Lehnga,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202315,Scarf,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202314,Kameez,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202313,SweaterCardigan Full Sleeves Plain,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202312,Cardigan,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
1202311,Sweat Shirt,1,0,0,0,,0,0,,,STEAM IRON,INSTITUTIONAL,no,no,NO,,Item,SALE,,,
