Id,Name*,Pices,Position,Rate*,Stock In Hand,Serial No#,Tax1,Tax2,Hsn Code,Brand,Catalog Name*,Catageory Name*,No print(yes/no),No Count(yes/no),Tax Exempt(yes/no),Incluseive Tax(yes/no),Type Of Item(Item/Item Group/group),Procurement Type(SALE/PURCHASE/SALE_AND_PURCHASE)*,Attr1,Attr2,Attr3
1332706,Salwar-2pec,,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1332707,Salwar-2pec-plain,2,0,169,0,null,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,plain,,
1332708,Salwar-2pec-heavy,2,0,189,0,null,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,heavy,,
1332709,Salwar-2pec-very heavy,2,0,219,0,null,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,very heavy,,
1331059,Salwar-3Pec,,0,0,0,,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,ItemGroup,SALE,Type,,
1331060,Salwar-3Pec-PLAIN,3,0,199,0,null,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,PLAIN,,
1331061,Salwar-3Pec-HEAVY,3,0,225,0,null,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,HEAVY,,
1331062,Salwar-3Pec-VERY HEAVY,3,0,249,0,null,0,0,,,DRY CLEAN,WOMEN,no,no,NO,,group,SALE,VERY HEAVY,,
1151762,Shirt,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1151763,Shirt-Full,1,0,99,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Full,,
1151764,Shirt-Half,1,0,89,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Half,,
1151765,Shirt-Silk ,1,0,149,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Silk ,,
1151766,Shirt-Shirt-Woolen,1,0,129,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Shirt-Woolen,,
1151761,T - Shirt,1,0,89,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151757,Safari,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1151758,Safari-Shirt,1,0,119,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Shirt,,
1151759,Safari-Suit Coat,1,0,249,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Suit Coat,,
1151760,Safari-Suit 2Pcs,2,0,329,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Suit 2Pcs,,
1151756,Kurta,1,0,119,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151755,Blazer,1,0,219,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151754,Waist Coat,1,0,129,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151751,Suit ,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1151752,Suit -2 Pcs,2,0,299,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,2 Pcs,,
1151753,Suit -3 Pcs,3,0,389,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,3 Pcs,,
1151750,Undershirt,1,0,69,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151749,Vest,1,0,49,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151748,Pants,1,0,99,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151747,Jeans,1,0,99,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151746,Pyjama,1,0,89,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151745,Lower,1,0,89,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151744,Shorts,1,0,49,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151743,Capri,1,0,89,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151742,Track Pant,1,0,89,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151741,Dhoti,1,0,99,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151740,Lungi,1,0,99,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151739,Pathani Suit,1,0,299,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151738,Tuxedo,1,0,319,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151737,Track Suit,1,0,169,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151736,Dangree,1,0,199,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151735,Kurta and Pyajama,1,0,199,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151734,Dhoti and Kurta,1,0,199,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,Item,SALE,,,
1151730,Sherwani 2 pcs,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
1151731,Sherwani 2 pcs-Light,2,0,499,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Light,,
1151732,Sherwani 2 pcs-Heavy,2,0,599,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Heavy,,
1151733,Sherwani 2 pcs-Light,2,0,699,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,group,SALE,Light,,
1151726,Sherwani Bridal Weight,0,0,0,0,,0,0,,,DRY CLEAN,MEN,no,no,NO,,ItemGroup,SALE,Type,,
